2021-02-19/11:43:26		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-19/11:43:27		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-19/11:43:28		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-19/11:43:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-19/11:43:29		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-19/11:43:29		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-19/11:43:30		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-02-19/11:43:30		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-19/11:43:30		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-19/11:44:56		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-19/11:44:56		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-19/11:44:57		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-19/11:44:57		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-19/11:44:58		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-19/11:44:59		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-19/11:44:59		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-02-19/11:44:59		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-19/11:45:00		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-19/12:00:43		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-19/12:00:44		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-19/12:00:44		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-19/12:00:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-19/12:00:46		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-19/12:00:46		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-19/12:00:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-02-19/12:00:47		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-19/12:00:47		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-19/13:02:10		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-19/13:02:11		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-19/13:02:11		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-19/13:02:12		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-19/13:02:13		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-19/13:02:13		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-19/13:02:14		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-02-19/13:02:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-19/13:02:15		 wafer_27012020_080911.csv: File Transformed successfully!!
